"Price Per Customer", "Cena Dla Klienta"
"Prices For Customer", "Cena Dla Klienta"
"Price Tab", "Cena"
"Id", "Id"
"Customer Id", "Id Klienta"
"Product Id", "Id Produktu"
"Price", "Cena"
"Price Typ", "Typ Ceny"
"Created", "Utworzono"
"Created at", "Utworzono"
"Action", "Akcja"
"Create New Price", "Utwórz nową cenę"
"Price Adjustment", "Zkorygowana Cena"
"Edit", "Edytuj"
"Add", "Dodaj"
"Back", "Wstecz"
"Save", "Zapisz"
"Customer Prices Information", "Informacje o cnenie dla klienta"
"Item Information", "Informacje Pozycji"
"Prices Define Per Customer", "Cena Definiowana Dla Klienta"
"Manage Prices Per Customer", "Zarządzaj Cenami Klienta"
"Item does not exist", "Pozycja nie istnieje"
"Error saving price", "Bład zapisu ceny"
"Price was successfully saved", "Cena zapisana z powodzeniem"
"The price has been deleted", Cena została usunięta
"Save And Continue Edit", "Zapisz i kontynuuj edycję"
"Customer Price", "Cena Klienta"
"Retrieve collection", "Zwraca Kolekcję Danych"
"Retrieve entity", "Zwraca Jednostkę"
"Create price per customer", "Utwórz Cenę Dla Klienta"
"Update price per customer", "Zaktualizuj Cenę Dla Klienta"
"Delete price per customer", "Usuń Cenę Dla Klienta"
"List Price Per Customer API", "Lista Cena Dla Klienta - API"
"Entity Price Per Customer API", "Jednostka Cena Dla Klienta - API"
"Create Price Per Customer API", "Utwórz Cene Dla Klienta - API"
"Update Price Per Customer API", " Zaktualizuj Cenę Dla Klienta - API"
"Delete Price Per Customer API", "Usuń Cenę Dla Klienta - API"
"Qsolutions Price Per Customer", "Qsolutions Studio - Cena Dla Klienta"
"Special Prises For Clients", "Cana specjalna dla klienta"

